,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
0,42,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,29,3,0,1,0,0,0,0,0,1,2,0,2,3,0,0,2,0,1,0,0,0,0,0,1,0
2,0,0,39,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3,0,1,0,32,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,2,0,2,2,0,0
4,0,3,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
5,0,0,0,0,0,35,0,0,0,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,38,0,1,0,2,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0
7,0,0,0,0,3,0,0,38,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8,0,0,0,0,0,3,0,0,38,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
9,1,0,1,0,0,7,0,0,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,4,1
10,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
11,0,2,1,1,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0
12,0,0,0,0,0,2,1,0,3,2,1,0,34,0,0,0,0,0,1,1,0,0,0,0,0,0,0
13,0,2,0,0,0,1,0,0,1,0,0,0,0,39,1,1,0,0,0,0,0,0,0,0,0,0,0
14,1,2,0,0,0,0,0,1,0,1,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,1
15,0,0,0,0,1,0,2,0,0,2,2,0,0,1,0,33,2,2,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,39,0,0,0,0,0,0,0,0,0
18,0,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,2,21,1,0,0,0,0,0,0,0
19,0,3,0,0,2,0,0,1,0,1,4,0,0,0,1,0,0,0,0,31,0,0,0,0,1,0,0
20,0,0,0,4,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,15,1,7,0,0,0,0
21,0,1,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,2,33,0,0,0,1,0
22,0,0,0,2,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,16,1,1,1,2
23,0,0,0,0,2,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,35,2,0,0
24,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0
25,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,39,0
26,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,36
